,1. open,2. high,3. low,4. close,5. volume
2006-06-30,44.93,50.63,43.47,48.0,48026200.0
2006-07-31,47.9,48.0,43.67,45.87,17312800.0
2006-08-31,45.92,56.17,44.7,55.9,26618000.0
2006-09-29,55.97,70.45,55.97,70.35,40339300.0
2006-10-31,70.35,76.25,68.28,74.1,40919100.0
2006-11-30,82.16,108.6,81.75,101.75,121611200.0
2006-12-29,102.22,102.45,90.5,98.49,47284700.0
2007-01-31,99.55,113.08,95.3,111.55,51429200.0
2007-02-28,112.14,118.07,98.61,107.18,83937600.0
2007-03-30,105.27,112.32,99.28,106.24,56420500.0
2007-04-30,107.1,117.97,105.93,111.68,29194200.0
2007-05-31,111.2,153.31,111.01,149.55,96637800.0
2007-06-29,150.57,169.4,135.18,165.87,90332400.0
2007-07-31,165.5,174.6,152.0,160.8,63494600.0
2007-08-31,150.82,152.45,120.0,136.99,104029900.0
2007-09-28,138.27,152.23,126.63,147.97,55130000.0
2007-10-31,147.73,194.78,143.15,189.91,90184300.0
2007-11-30,186.06,206.43,175.58,200.65,80598000.0
2007-12-31,199.25,227.18,194.51,215.2,68726300.0
2008-01-31,215.0,220.29,160.82,207.0,99675000.0
2008-02-29,210.67,222.25,187.25,190.0,66464800.0
2008-03-31,193.98,230.35,183.58,222.99,80692700.0
2008-04-30,226.74,282.96,219.85,278.16,60172100.0
2008-05-30,279.49,320.3,270.45,308.65,66106400.0
2008-06-30,310.55,320.0,265.4,265.52,75275100.0
2008-07-31,263.3,290.96,237.42,244.15,118177500.0
2008-08-29,240.47,244.9,221.0,242.55,60296500.0
2008-09-30,245.88,248.0,150.6,177.33,97741700.0
2008-10-31,177.23,184.3,120.02,147.82,106517400.0
2008-11-28,149.04,171.97,113.05,145.3,92309700.0
2008-12-31,140.97,158.0,127.66,142.93,53704000.0
2009-01-30,144.1,165.0,117.06,135.78,70652100.0
2009-02-27,133.61,168.88,130.27,158.03,77018800.0
2009-03-31,154.77,171.41,139.16,167.48,67817600.0
2009-04-30,163.39,188.77,149.34,183.45,77567100.0
2009-05-29,175.51,186.7525,163.64,176.33,63798500.0
2009-06-30,177.5,179.0,155.51,167.31,58335600.0
2009-07-31,167.48,209.27,158.57,194.03,46497100.0
2009-08-31,196.21,211.1,195.35,202.63,26153900.0
2009-09-30,201.69,225.83,199.05,202.15,38509600.0
2009-10-30,202.07,232.25,196.95,219.02,39715800.0
2009-11-30,219.02,242.93,209.57,240.86,43663600.0
2009-12-31,241.95,259.0,235.41,255.98,23152200.0
2010-01-29,257.99,269.88,245.83,249.9,22858200.0
2010-02-26,251.13,256.51,216.43,224.37,43562100.0
2010-03-31,225.94,254.28,225.38,254.0,31434200.0
2010-04-30,255.55,269.22,245.99,248.04,20272900.0
2010-05-28,251.19,257.44,195.58,201.77,74610300.0
